38,QUAT,1073549200,-1133758,14877144,13816452
38,ACCEL,592,416,-15528
38,GYRO,-39,162,91
38,COMPASS,-62,-18,57
39,QUAT,1073372243,-4092387,23125417,15543277
39,ACCEL,144,656,-15728
39,GYRO,-106,296,61
39,COMPASS,-64,-18,56
40,QUAT,1073078245,-4911726,33720988,16187653
40,ACCEL,-88,696,-16528
40,GYRO,-27,377,24
40,COMPASS,-65,-16,57
41,QUAT,1072950468,-2037991,36787448,18424372
41,ACCEL,200,1072,-17896
41,GYRO,98,104,84
41,COMPASS,-65,-18,56
42,QUAT,1073080885,2488252,28350670,24650800
42,ACCEL,544,1232,-18648
42,GYRO,150,-307,229
42,COMPASS,-64,-15,58
43,QUAT,1073079143,3570553,21229992,30949738
43,ACCEL,840,1456,-17400
43,GYRO,20,-256,228
43,COMPASS,-64,-15,60
44,QUAT,1072976977,7102227,22413669,32975001
44,ACCEL,840,1768,-16144
44,GYRO,118,40,75
44,COMPASS,-66,-14,57
45,QUAT,1072685065,5482312,31016944,35676610
45,ACCEL,408,1216,-15904
45,GYRO,-57,310,94
45,COMPASS,-63,-15,60
46,QUAT,1072652166,4963172,31238601,36535057
46,ACCEL,168,1312,-17608
46,GYRO,-26,5,30
46,COMPASS,-68,-18,59
47,QUAT,1072911074,13705728,20102080,34486667
47,ACCEL,808,1872,-18312
47,GYRO,303,-412,-63
47,COMPASS,-68,-15,59
48,QUAT,1072888064,17463541,10066510,37738862
48,ACCEL,744,664,-16816
48,GYRO,116,-362,124
48,COMPASS,-62,-16,59
49,QUAT,1072275095,4416452,21539233,51553639
49,ACCEL,-248,-672,-15048
49,GYRO,-457,434,487
49,COMPASS,-63,-14,59
50,QUAT,1071218659,-1306721,41464790,60598627
50,ACCEL,-424,480,-16976
50,GYRO,-180,721,320
50,COMPASS,-65,-14,59
51,QUAT,1070847457,6570515,54053570,56722975
51,ACCEL,1336,1240,-19784
51,GYRO,314,437,-127
51,COMPASS,-70,-17,56
52,QUAT,1071161451,25796235,50576582,47869566
52,ACCEL,1840,1032,-20360
52,GYRO,700,-164,-283
52,COMPASS,-70,-18,58
53,QUAT,1070691129,49345595,48771798,41241177
53,ACCEL,2344,360,-17544
53,GYRO,846,-104,-197
53,COMPASS,-68,-12,60
54,QUAT,1069823502,75105276,37229671,36430083
54,ACCEL,2040,1000,-14752
54,GYRO,905,-452,-112
54,COMPASS,-67,-8,60
55,QUAT,1068923761,92100329,31708500,27705413
55,ACCEL,2096,2016,-12040
55,GYRO,616,-239,-272
55,COMPASS,-67,-4,65
56,QUAT,1069754210,79770855,40757499,21819657
56,ACCEL,-360,1280,-11384
56,GYRO,-430,317,-252
56,COMPASS,-65,-3,67
57,QUAT,1070669264,55295836,57506743,14010104
57,ACCEL,-1104,520,-12424
57,GYRO,-858,597,-359
57,COMPASS,-63,-6,66
58,QUAT,1070501767,36482806,74694769,2485590
58,ACCEL,-1608,608,-15312
58,GYRO,-653,589,-479
58,COMPASS,-64,-12,63
59,QUAT,1069625168,23360897,89822537,-12643873
59,ACCEL,-688,616,-17536
59,GYRO,-437,512,-596
59,COMPASS,-67,-11,60
60,QUAT,1068872679,7212334,97460818,-28506673
60,ACCEL,1000,160,-18944
60,GYRO,-534,257,-626
60,COMPASS,-67,-14,59
61,QUAT,1068305308,-6993016,99680146,-40746038
61,ACCEL,2192,-360,-19016
61,GYRO,-471,65,-488
61,COMPASS,-67,-15,58
62,QUAT,1068197009,-14425589,95875722,-49763454
62,ACCEL,2336,-136,-18648
62,GYRO,-231,-144,-349
62,COMPASS,-63,-21,57
63,QUAT,1068007830,-17475743,92227861,-58901587
63,ACCEL,2232,328,-18168
63,GYRO,-75,-131,-333
63,COMPASS,-63,-21,52
64,QUAT,1067507137,-22173277,90809236,-67912018
64,ACCEL,2552,952,-17200
64,GYRO,-139,-55,-334
64,COMPASS,-60,-21,56
65,QUAT,1066898880,-24833947,91641063,-75056429
65,ACCEL,2056,1480,-15768
65,GYRO,-79,28,-261
65,COMPASS,-63,-21,54
66,QUAT,1065739720,-22882134,95897735,-86025380
66,ACCEL,2048,2080,-16360
66,GYRO,86,166,-382
66,COMPASS,-60,-24,54
67,QUAT,1064524668,-25653961,100784246,-94303290
67,ACCEL,2480,1888,-16624
67,GYRO,-92,174,-300
67,COMPASS,-59,-25,54
68,QUAT,1063782144,-30017129,106114473,-95538964
68,ACCEL,2616,1600,-16872
68,GYRO,-171,177,-55
68,COMPASS,-56,-23,57
69,QUAT,1063870774,-31282276,107635655,-92392729
69,ACCEL,2144,2104,-17256
69,GYRO,-65,41,111
69,COMPASS,-57,-23,51
70,QUAT,1064468224,-30995623,104485103,-89168386
70,ACCEL,2384,2736,-16824
70,GYRO,2,-121,116
70,COMPASS,-59,-23,52
71,QUAT,1064724504,-31736959,103178379,-87350951
71,ACCEL,1952,3024,-16456
71,GYRO,-37,-57,63
71,COMPASS,-58,-23,52
72,QUAT,1064008049,-33860777,106575046,-91123749
72,ACCEL,1664,3080,-15920
72,GYRO,-82,115,-139
72,COMPASS,-61,-24,52
73,QUAT,1062843082,-36129719,111138399,-98127016
73,ACCEL,1968,3000,-16128
73,GYRO,-79,162,-254
73,COMPASS,-60,-26,54
74,QUAT,1062306498,-37569088,112650756,-101610477
74,ACCEL,1920,2552,-16288
74,GYRO,-49,49,-129
74,COMPASS,-60,-24,53
75,QUAT,1062260812,-37913972,114165330,-100260587
75,ACCEL,1856,2184,-16608
75,GYRO,-26,44,50
75,COMPASS,-61,-26,53
76,QUAT,1062495263,-37700382,113003859,-99166740
76,ACCEL,1912,2544,-16944
76,GYRO,3,-50,39
76,COMPASS,-58,-23,51
77,QUAT,1062940229,-37648833,108752059,-99171854
77,ACCEL,2248,2856,-16720
77,GYRO,10,-158,-2
77,COMPASS,-57,-25,53
78,QUAT,1063155656,-37490098,107368220,-98427880
78,ACCEL,1976,2576,-16032
78,GYRO,2,-56,29
78,COMPASS,-58,-25,50
79,QUAT,1062782625,-38448507,111065295,-97983322
79,ACCEL,1800,2832,-15864
79,GYRO,-55,123,17
79,COMPASS,-60,-24,51
80,QUAT,1062245249,-39146088,115184653,-98775097
80,ACCEL,2016,2648,-16240
80,GYRO,-42,141,-24
80,COMPASS,-60,-27,51
81,QUAT,1061491088,-40150233,120197424,-100491730
81,ACCEL,2208,2752,-16600
81,GYRO,-52,174,-61
81,COMPASS,-61,-24,51
82,QUAT,1061352079,-41454107,120750007,-100767717
82,ACCEL,2272,2888,-16592
82,GYRO,-53,10,-15
82,COMPASS,-60,-24,49
83,QUAT,1061644150,-40828793,119914863,-98926857
83,ACCEL,2240,2632,-16776
83,GYRO,13,-38,70
83,COMPASS,-58,-26,49
84,QUAT,1061458857,-39061238,122815459,-98066599
84,ACCEL,1632,2528,-16496
84,GYRO,44,99,46
84,COMPASS,-57,-28,49
85,QUAT,1061213202,-38631966,123356909,-100192586
85,ACCEL,1592,2888,-16584
85,GYRO,16,15,-75
85,COMPASS,-59,-23,49
86,QUAT,1061120667,-36263877,122635695,-102906329
86,ACCEL,1672,2808,-16736
86,GYRO,92,-23,-89
86,COMPASS,-62,-25,49
87,QUAT,1061242171,-34057276,122619794,-102425156
87,ACCEL,1720,2592,-16480
87,GYRO,71,-3,28
87,COMPASS,-59,-27,50
88,QUAT,1061393338,-34775009,123842701,-99092101
88,ACCEL,1880,2488,-15920
88,GYRO,-48,29,116
88,COMPASS,-59,-23,50
89,QUAT,1061191140,-35278657,126214149,-98082301
89,ACCEL,1888,2952,-16320
89,GYRO,-37,74,35
89,COMPASS,-60,-25,50
90,QUAT,1060523689,-35837288,129463128,-100825731
90,ACCEL,1552,3264,-16232
90,GYRO,-27,110,-103
90,COMPASS,-63,-23,50
91,QUAT,1060589344,-36105787,126560434,-103684199
91,ACCEL,1864,3088,-16896
91,GYRO,6,-110,-108
91,COMPASS,-60,-25,50
92,QUAT,1060529406,-35642115,125957307,-105181331
92,ACCEL,2400,2584,-16480
92,GYRO,20,-24,-53
92,COMPASS,-61,-25,48
93,QUAT,1060145660,-36297174,127237519,-107264276
93,ACCEL,1984,2664,-15952
93,GYRO,-24,40,-81
93,COMPASS,-59,-23,50
94,QUAT,1059199716,-37969917,131600543,-110710438
94,ACCEL,2120,2592,-15840
94,GYRO,-66,150,-130
94,COMPASS,-57,-25,50
95,QUAT,1058598461,-39196693,135411017,-111436027
95,ACCEL,2016,2208,-16168
95,GYRO,-57,126,-33
95,COMPASS,-57,-23,50
96,QUAT,1058547865,-39123587,138241789,-108425919
96,ACCEL,1888,2288,-16640
96,GYRO,-24,87,108
96,COMPASS,-57,-26,54
97,QUAT,1058979141,-37082675,138550269,-104465867
97,ACCEL,1728,2440,-17128
97,GYRO,51,0,147
97,COMPASS,-59,-23,50
98,QUAT,1059797460,-32854009,133672833,-103936652
98,ACCEL,1944,3424,-17440
98,GYRO,158,-173,31
98,COMPASS,-59,-24,50
99,QUAT,1060408335,-29830228,128477609,-105162504
99,ACCEL,2016,3416,-16792
99,GYRO,123,-184,-37
99,COMPASS,-60,-24,49
100,QUAT,1060485043,-29783886,127716996,-105328511
100,ACCEL,2424,2808,-15896
100,GYRO,-2,-33,-6
100,COMPASS,-61,-27,51
101,QUAT,1060394954,-32882109,129176778,-103518102
101,ACCEL,2216,2656,-15560
101,GYRO,-129,33,51
101,COMPASS,-58,-25,52
102,QUAT,1060240575,-34456908,131712519,-101369511
102,ACCEL,1744,2872,-15584
102,GYRO,-81,74,71
102,COMPASS,-58,-26,52
103,QUAT,1059537262,-34515327,136318733,-102605872
103,ACCEL,1472,2904,-16152
103,GYRO,-19,157,-45
103,COMPASS,-59,-24,52
104,QUAT,1058996731,-34847585,137761569,-106087519
104,ACCEL,1616,2696,-17040
104,GYRO,-6,45,-129
104,COMPASS,-60,-25,51
105,QUAT,1059047691,-33380628,136779787,-107313822
105,ACCEL,1640,2264,-17008
105,GYRO,58,-40,-39
105,COMPASS,-60,-27,49
106,QUAT,1059716709,-29820028,133481839,-105901618
106,ACCEL,1784,2448,-16600
106,GYRO,128,-119,63
106,COMPASS,-58,-26,53
107,QUAT,1060156625,-28770791,131931289,-103709317
107,ACCEL,1840,2696,-16320
107,GYRO,27,-65,82
107,COMPASS,-57,-27,53
108,QUAT,1059655102,-28650497,135184726,-104673724
108,ACCEL,1840,3160,-15704
108,GYRO,-12,110,-33
108,COMPASS,-61,-28,52
109,QUAT,1058882876,-29966606,138334449,-107953102
109,ACCEL,1896,3168,-16256
109,GYRO,-52,104,-123
109,COMPASS,-58,-27,50
110,QUAT,1058338886,-31858056,140241669,-110260289
110,ACCEL,2032,2768,-16648
110,GYRO,-69,56,-95
110,COMPASS,-61,-26,53
111,QUAT,1057862468,-32220455,143495003,-110540380
111,ACCEL,2056,2568,-16384
111,GYRO,-28,107,-15
111,COMPASS,-57,-24,51
112,QUAT,1057702777,-30501514,144895979,-110728434
112,ACCEL,1792,2464,-16440
112,GYRO,53,46,-3
112,COMPASS,-58,-25,52
113,QUAT,1057533659,-29680586,146545935,-110394899
113,ACCEL,1896,2416,-16648
113,GYRO,18,51,11
113,COMPASS,-57,-24,51
114,QUAT,1057506465,-27718620,148076695,-109115382
114,ACCEL,1624,2344,-16488
114,GYRO,54,48,52
114,COMPASS,-57,-25,49
115,QUAT,1057994788,-23921349,146780296,-107011709
115,ACCEL,1808,2504,-16584
115,GYRO,125,-48,88
115,COMPASS,-58,-24,52
116,QUAT,1058359428,-21239262,145210594,-106109816
116,ACCEL,1680,2936,-16176
116,GYRO,90,-60,38
116,COMPASS,-61,-24,52
117,QUAT,1057812034,-22542117,148407895,-106872806
117,ACCEL,1608,2968,-16104
117,GYRO,-61,100,-40
117,COMPASS,-58,-25,53
118,QUAT,1057260156,-24159323,151279296,-107948870
118,ACCEL,1528,2936,-16016
118,GYRO,-69,87,-53
118,COMPASS,-58,-25,52
119,QUAT,1057280025,-23557885,151335361,-107808531
119,ACCEL,1632,2816,-16464
119,GYRO,14,-9,4
119,COMPASS,-57,-27,50
120,QUAT,1057577499,-21790108,150363849,-106615487
120,ACCEL,1680,2120,-16408
120,GYRO,57,-43,47
120,COMPASS,-60,-25,49
121,QUAT,1057497937,-21551031,151783250,-105435427
121,ACCEL,1648,2256,-16448
121,GYRO,-6,38,37
121,COMPASS,-58,-24,53
122,QUAT,1057251221,-22372746,153649073,-105035101
122,ACCEL,2040,2408,-16368
122,GYRO,-42,53,4
122,COMPASS,-58,-24,51
123,QUAT,1057285931,-22186550,153397462,-105092973
123,ACCEL,1608,2480,-16712
123,GYRO,3,-22,-6
123,COMPASS,-59,-26,51
124,QUAT,1057382880,-20336126,153002572,-105067618
124,ACCEL,1768,2848,-16928
124,GYRO,61,-21,3
124,COMPASS,-61,-24,50
125,QUAT,1057369231,-20065226,152784722,-105572868
125,ACCEL,1672,2424,-16392
125,GYRO,9,-19,-25
125,COMPASS,-59,-24,54
126,QUAT,1057026155,-21182520,155040186,-105501753
126,ACCEL,1864,2472,-16136
126,GYRO,-52,66,-12
126,COMPASS,-61,-24,53
127,QUAT,1056761971,-21269445,157513417,-104462016
127,ACCEL,1896,2384,-16152
127,GYRO,-21,76,29
127,COMPASS,-58,-24,53
128,QUAT,1056656889,-19884586,158706911,-103990234
128,ACCEL,1688,2688,-16320
128,GYRO,37,34,17
128,COMPASS,-58,-24,50
129,QUAT,1056870978,-21028515,157758159,-103028905
129,ACCEL,1632,2432,-16472
129,GYRO,-46,-53,20
129,COMPASS,-61,-24,52
130,QUAT,1056555836,-22279052,162405863,-98685181
130,ACCEL,1176,1920,-16192
130,GYRO,-86,143,145
130,COMPASS,-57,-26,51
131,QUAT,1056286872,-20235663,165843037,-96258180
131,ACCEL,1088,1904,-17304
131,GYRO,46,110,92
131,COMPASS,-60,-24,50
132,QUAT,1057460458,-13523083,158569506,-96805635
132,ACCEL,1960,2408,-18976
132,GYRO,266,-242,14
132,COMPASS,-58,-26,52
133,QUAT,1059417265,-4241238,146180230,-95758462
133,ACCEL,2648,1912,-18224
133,GYRO,366,-420,83
133,COMPASS,-59,-23,53
134,QUAT,1059109646,-2853459,151614253,-90625513
134,ACCEL,2368,1280,-16648
134,GYRO,5,188,182
134,COMPASS,-57,-21,52
135,QUAT,1054493940,-5934109,184771302,-82387051
135,ACCEL,2424,528,-18000
135,GYRO,-250,1192,258
135,COMPASS,-58,-22,53
136,QUAT,1050942024,12510606,205509289,-77783638
136,ACCEL,4520,1960,-21240
136,GYRO,570,806,261
136,COMPASS,-63,-23,51
137,QUAT,1049789755,47688075,207526810,-74294253
137,ACCEL,5808,2304,-21320
137,GYRO,1217,172,349
137,COMPASS,-69,-23,53
138,QUAT,1044651838,71853807,228360669,-65639824
138,ACCEL,5440,1368,-16768
138,GYRO,734,834,422
138,COMPASS,-71,-16,58
139,QUAT,1041701804,84584094,240870249,-50992427
139,ACCEL,4568,272,-16352
139,GYRO,303,510,571
139,COMPASS,-77,-10,59
140,QUAT,1042549862,110419870,228905525,-37628277
